seed,timestamp,maze_idx,maze_step,action,prev_pos,new_pos,moved,visited_goal,left_goal,reward
1135781980,2026-06-17T17:47:26.152966+00:00,0,1,ArrowUp,"[2, 10]","[1, 10]",True,1,,0
1135781980,2026-06-17T17:47:26.977811+00:00,0,2,ArrowLeft,"[1, 10]","[1, 9]",True,,1,0
1135781980,2026-06-17T17:47:27.199439+00:00,0,3,ArrowLeft,"[1, 9]","[1, 8]",True,,,0
1135781980,2026-06-17T17:47:27.635360+00:00,0,4,ArrowLeft,"[1, 8]","[1, 7]",True,,,0
1135781980,2026-06-17T17:47:27.911991+00:00,0,5,ArrowDown,"[1, 7]","[2, 7]",True,,,0
1135781980,2026-06-17T17:47:28.246752+00:00,0,6,ArrowLeft,"[2, 7]","[2, 6]",True,,,0
1135781980,2026-06-17T17:47:28.435287+00:00,0,7,ArrowLeft,"[2, 6]","[2, 5]",True,,,0
1135781980,2026-06-17T17:47:28.772555+00:00,0,8,ArrowDown,"[2, 5]","[3, 5]",True,0,,0
1135781980,2026-06-17T17:47:29.346267+00:00,0,9,ArrowLeft,"[3, 5]","[3, 4]",True,,0,0
1135781980,2026-06-17T17:47:29.690801+00:00,0,10,ArrowLeft,"[3, 4]","[3, 3]",True,,,0
1135781980,2026-06-17T17:47:30.019454+00:00,0,11,ArrowLeft,"[3, 3]","[3, 2]",True,,,0
1135781980,2026-06-17T17:47:30.254477+00:00,0,12,ArrowDown,"[3, 2]","[4, 2]",True,,,0
1135781980,2026-06-17T17:47:30.454716+00:00,0,13,ArrowDown,"[4, 2]","[5, 2]",True,,,0
1135781980,2026-06-17T17:47:30.596040+00:00,0,14,ArrowDown,"[5, 2]","[6, 2]",True,,,0
1135781980,2026-06-17T17:47:30.878877+00:00,0,15,ArrowDown,"[6, 2]","[7, 2]",True,,,0
1135781980,2026-06-17T17:47:31.084377+00:00,0,16,ArrowRight,"[7, 2]","[7, 3]",True,4,,0
1135781980,2026-06-17T17:47:31.998752+00:00,0,17,ArrowDown,"[7, 3]","[8, 3]",True,,4,0
1135781980,2026-06-17T17:47:32.177361+00:00,0,18,ArrowDown,"[8, 3]","[9, 3]",True,,,0
1135781980,2026-06-17T17:47:32.440575+00:00,0,19,ArrowDown,"[9, 3]","[10, 3]",True,,,0
1135781980,2026-06-17T17:47:32.788125+00:00,0,20,ArrowLeft,"[10, 3]","[10, 2]",True,,,0
1135781980,2026-06-17T17:47:33.059292+00:00,0,21,ArrowLeft,"[10, 2]","[10, 1]",True,2,,1
1135781980,2026-06-17T17:47:40.022311+00:00,1,1,ArrowLeft,"[4, 4]","[4, 3]",True,,,0
1135781980,2026-06-17T17:47:40.306657+00:00,1,2,ArrowLeft,"[4, 3]","[4, 2]",True,,,0
1135781980,2026-06-17T17:47:40.520276+00:00,1,3,ArrowDown,"[4, 2]","[5, 2]",True,,,0
1135781980,2026-06-17T17:47:40.735851+00:00,1,4,ArrowDown,"[5, 2]","[6, 2]",True,,,0
1135781980,2026-06-17T17:47:40.917768+00:00,1,5,ArrowDown,"[6, 2]","[7, 2]",True,,,0
1135781980,2026-06-17T17:47:41.101360+00:00,1,6,ArrowDown,"[7, 2]","[8, 2]",True,,,0
1135781980,2026-06-17T17:47:41.487911+00:00,1,7,ArrowLeft,"[8, 2]","[8, 1]",True,2,,1
1135781980,2026-06-17T17:47:45.109725+00:00,2,1,ArrowLeft,"[2, 7]","[2, 6]",True,,,0
1135781980,2026-06-17T17:47:45.606069+00:00,2,2,ArrowLeft,"[2, 6]","[2, 5]",True,,,0
1135781980,2026-06-17T17:47:45.689035+00:00,2,3,ArrowLeft,"[2, 5]","[2, 4]",True,,,0
1135781980,2026-06-17T17:47:45.774781+00:00,2,4,ArrowLeft,"[2, 4]","[2, 3]",True,,,0
1135781980,2026-06-17T17:47:46.191406+00:00,2,5,ArrowLeft,"[2, 3]","[2, 2]",True,,,0
1135781980,2026-06-17T17:47:46.360798+00:00,2,6,ArrowDown,"[2, 2]","[3, 2]",True,,,0
1135781980,2026-06-17T17:47:46.861839+00:00,2,7,ArrowDown,"[3, 2]","[4, 2]",True,,,0
1135781980,2026-06-17T17:47:46.944166+00:00,2,8,ArrowDown,"[4, 2]","[5, 2]",True,,,0
1135781980,2026-06-17T17:47:47.026953+00:00,2,9,ArrowDown,"[5, 2]","[6, 2]",True,,,0
1135781980,2026-06-17T17:47:47.125069+00:00,2,10,ArrowDown,"[6, 2]","[7, 2]",True,,,0
1135781980,2026-06-17T17:47:47.199431+00:00,2,11,ArrowDown,"[7, 2]","[8, 2]",True,,,0
1135781980,2026-06-17T17:47:47.274947+00:00,2,12,ArrowDown,"[8, 2]","[9, 2]",True,,,0
1135781980,2026-06-17T17:47:47.359320+00:00,2,13,ArrowDown,"[9, 2]","[10, 2]",True,,,0
1135781980,2026-06-17T17:47:47.444840+00:00,2,14,ArrowDown,"[10, 2]","[11, 2]",True,2,,1
1135781980,2026-06-17T17:47:51.548507+00:00,3,1,ArrowDown,"[1, 3]","[2, 3]",True,,,0
1135781980,2026-06-17T17:47:51.840706+00:00,3,2,ArrowLeft,"[2, 3]","[2, 2]",True,0,,0
1135781980,2026-06-17T17:47:54.716968+00:00,3,3,ArrowDown,"[2, 2]","[3, 2]",True,,0,0
1135781980,2026-06-17T17:47:55.024341+00:00,3,4,ArrowDown,"[3, 2]","[4, 2]",True,,,0
1135781980,2026-06-17T17:47:55.205614+00:00,3,5,ArrowDown,"[4, 2]","[5, 2]",True,,,0
1135781980,2026-06-17T17:47:55.404532+00:00,3,6,ArrowDown,"[5, 2]","[6, 2]",True,,,0
1135781980,2026-06-17T17:47:55.612225+00:00,3,7,ArrowDown,"[6, 2]","[7, 2]",True,,,0
1135781980,2026-06-17T17:47:55.832361+00:00,3,8,ArrowDown,"[7, 2]","[8, 2]",True,,,0
1135781980,2026-06-17T17:47:56.226045+00:00,3,9,ArrowLeft,"[8, 2]","[8, 1]",True,2,,1
2201616836,2026-06-17T17:57:43.928287+00:00,0,1,ArrowUp,"[8, 2]","[7, 2]",True,,,0
2201616836,2026-06-17T17:57:44.173138+00:00,0,2,ArrowRight,"[7, 2]","[7, 3]",True,,,0
2201616836,2026-06-17T17:57:44.337460+00:00,0,3,ArrowRight,"[7, 3]","[7, 4]",True,,,0
2201616836,2026-06-17T17:57:44.484722+00:00,0,4,ArrowRight,"[7, 4]","[7, 5]",True,2,,0
2201616836,2026-06-17T17:57:45.439627+00:00,0,5,ArrowLeft,"[7, 5]","[7, 4]",True,,2,0
2201616836,2026-06-17T17:57:45.601652+00:00,0,6,ArrowLeft,"[7, 4]","[7, 3]",True,,,0
2201616836,2026-06-17T17:57:45.728869+00:00,0,7,ArrowLeft,"[7, 3]","[7, 2]",True,,,0
2201616836,2026-06-17T17:57:45.963804+00:00,0,8,ArrowUp,"[7, 2]","[6, 2]",True,,,0
2201616836,2026-06-17T17:57:46.229338+00:00,0,9,ArrowUp,"[6, 2]","[5, 2]",True,,,0
2201616836,2026-06-17T17:57:46.408032+00:00,0,10,ArrowUp,"[5, 2]","[4, 2]",True,,,0
2201616836,2026-06-17T17:57:46.541365+00:00,0,11,ArrowUp,"[4, 2]","[3, 2]",True,,,0
2201616836,2026-06-17T17:57:46.676355+00:00,0,12,ArrowUp,"[3, 2]","[2, 2]",True,0,,0
2201616836,2026-06-17T17:57:47.307903+00:00,0,13,ArrowRight,"[2, 2]","[2, 3]",True,,0,0
2201616836,2026-06-17T17:57:47.474912+00:00,0,14,ArrowRight,"[2, 3]","[2, 4]",True,,,0
2201616836,2026-06-17T17:57:47.623235+00:00,0,15,ArrowRight,"[2, 4]","[2, 5]",True,,,0
2201616836,2026-06-17T17:57:47.779921+00:00,0,16,ArrowRight,"[2, 5]","[2, 6]",True,,,0
2201616836,2026-06-17T17:57:47.936197+00:00,0,17,ArrowRight,"[2, 6]","[2, 7]",True,,,0
2201616836,2026-06-17T17:57:48.583290+00:00,0,18,ArrowDown,"[2, 7]","[3, 7]",True,,,0
2201616836,2026-06-17T17:57:48.750194+00:00,0,19,ArrowDown,"[3, 7]","[4, 7]",True,1,,0
2201616836,2026-06-17T17:57:48.867176+00:00,0,20,ArrowDown,"[4, 7]","[5, 7]",True,,1,0
2201616836,2026-06-17T17:57:49.540991+00:00,0,21,ArrowRight,"[5, 7]","[5, 8]",True,,,0
2201616836,2026-06-17T17:57:49.709818+00:00,0,22,ArrowRight,"[5, 8]","[5, 9]",True,,,0
2201616836,2026-06-17T17:57:50.176573+00:00,0,23,ArrowDown,"[5, 9]","[6, 9]",True,,,0
2201616836,2026-06-17T17:57:50.360877+00:00,0,24,ArrowDown,"[6, 9]","[7, 9]",True,,,0
2201616836,2026-06-17T17:57:50.555749+00:00,0,25,ArrowDown,"[7, 9]","[8, 9]",True,,,0
2201616836,2026-06-17T17:57:50.633322+00:00,0,26,ArrowDown,"[8, 9]","[9, 9]",True,4,,1
2201616836,2026-06-17T17:57:56.604527+00:00,1,1,ArrowLeft,"[2, 9]","[2, 8]",True,,,0
2201616836,2026-06-17T17:57:56.853820+00:00,1,2,ArrowLeft,"[2, 8]","[2, 7]",True,,,0
2201616836,2026-06-17T17:57:56.918367+00:00,1,3,ArrowLeft,"[2, 7]","[2, 6]",True,,,0
2201616836,2026-06-17T17:57:57.067351+00:00,1,4,ArrowLeft,"[2, 6]","[2, 5]",True,,,0
2201616836,2026-06-17T17:57:57.233195+00:00,1,5,ArrowLeft,"[2, 5]","[2, 4]",True,,,0
2201616836,2026-06-17T17:57:57.895134+00:00,1,6,ArrowUp,"[2, 4]","[1, 4]",True,4,,1
2201616836,2026-06-17T17:58:02.685603+00:00,2,1,ArrowLeft,"[8, 4]","[8, 3]",True,,,0
2201616836,2026-06-17T17:58:02.986428+00:00,2,2,ArrowLeft,"[8, 3]","[8, 2]",True,,,0
2201616836,2026-06-17T17:58:03.194094+00:00,2,3,ArrowUp,"[8, 2]","[7, 2]",True,,,0
2201616836,2026-06-17T17:58:03.359806+00:00,2,4,ArrowUp,"[7, 2]","[6, 2]",True,,,0
2201616836,2026-06-17T17:58:03.498531+00:00,2,5,ArrowUp,"[6, 2]","[5, 2]",True,,,0
2201616836,2026-06-17T17:58:03.662247+00:00,2,6,ArrowUp,"[5, 2]","[4, 2]",True,,,0
2201616836,2026-06-17T17:58:03.775367+00:00,2,7,ArrowUp,"[4, 2]","[3, 2]",True,,,0
2201616836,2026-06-17T17:58:03.918132+00:00,2,8,ArrowUp,"[3, 2]","[2, 2]",True,,,0
2201616836,2026-06-17T17:58:04.258554+00:00,2,9,ArrowRight,"[2, 2]","[2, 3]",True,0,,1
2201616836,2026-06-17T17:58:06.698749+00:00,3,0,ArrowDown,"[5, 3]","[5, 3]",False,,,0
2201616836,2026-06-17T17:58:06.844631+00:00,3,0,ArrowDown,"[5, 3]","[5, 3]",False,,,0
2201616836,2026-06-17T17:58:06.554470+00:00,3,0,ArrowDown,"[5, 3]","[5, 3]",False,,,0
2201616836,2026-06-17T17:58:06.386518+00:00,3,0,ArrowDown,"[5, 3]","[5, 3]",False,,,0
2201616836,2026-06-17T17:58:07.532656+00:00,3,1,ArrowLeft,"[5, 3]","[5, 2]",True,,,0
2201616836,2026-06-17T17:58:07.745638+00:00,3,2,ArrowDown,"[5, 2]","[6, 2]",True,,,0
2201616836,2026-06-17T17:58:07.913094+00:00,3,3,ArrowDown,"[6, 2]","[7, 2]",True,,,0
2201616836,2026-06-17T17:58:08.066627+00:00,3,4,ArrowDown,"[7, 2]","[8, 2]",True,,,0
2201616836,2026-06-17T17:58:08.202189+00:00,3,5,ArrowDown,"[8, 2]","[9, 2]",True,,,0
2201616836,2026-06-17T17:58:08.568561+00:00,3,6,ArrowRight,"[9, 2]","[9, 3]",True,,,0
2201616836,2026-06-17T17:58:08.724816+00:00,3,7,ArrowRight,"[9, 3]","[9, 4]",True,,,0
2201616836,2026-06-17T17:58:08.910753+00:00,3,8,ArrowRight,"[9, 4]","[9, 5]",True,,,0
2201616836,2026-06-17T17:58:09.030303+00:00,3,9,ArrowRight,"[9, 5]","[9, 6]",True,,,0
2201616836,2026-06-17T17:58:09.178443+00:00,3,10,ArrowRight,"[9, 6]","[9, 7]",True,,,0
2201616836,2026-06-17T17:58:09.505606+00:00,3,11,ArrowDown,"[9, 7]","[10, 7]",True,3,,1
4130865508,2026-06-17T17:19:33.201714+00:00,0,1,ArrowUp,"[4, 3]","[3, 3]",True,,,0
4130865508,2026-06-17T17:19:34.049824+00:00,0,2,ArrowRight,"[3, 3]","[3, 4]",True,0,,0
4130865508,2026-06-17T17:19:35.018146+00:00,0,3,ArrowUp,"[3, 4]","[2, 4]",True,,0,0
4130865508,2026-06-17T17:19:35.348328+00:00,0,4,ArrowRight,"[2, 4]","[2, 5]",True,,,0
4130865508,2026-06-17T17:19:35.568601+00:00,0,5,ArrowRight,"[2, 5]","[2, 6]",True,,,0
4130865508,2026-06-17T17:19:35.822949+00:00,0,6,ArrowRight,"[2, 6]","[2, 7]",True,,,0
4130865508,2026-06-17T17:19:35.970697+00:00,0,7,ArrowRight,"[2, 7]","[2, 8]",True,,,0
4130865508,2026-06-17T17:19:36.208161+00:00,0,8,ArrowRight,"[2, 8]","[2, 9]",True,,,0
4130865508,2026-06-17T17:19:36.646946+00:00,0,9,ArrowDown,"[2, 9]","[3, 9]",True,1,,1
4130865508,2026-06-17T17:19:42.639105+00:00,1,1,ArrowLeft,"[5, 11]","[5, 10]",True,,,0
4130865508,2026-06-17T17:19:42.919308+00:00,1,2,ArrowLeft,"[5, 10]","[5, 9]",True,,,0
4130865508,2026-06-17T17:19:44.772244+00:00,1,3,ArrowDown,"[5, 9]","[6, 9]",True,,,0
4130865508,2026-06-17T17:19:44.984050+00:00,1,4,ArrowDown,"[6, 9]","[7, 9]",True,,,0
4130865508,2026-06-17T17:19:45.261296+00:00,1,5,ArrowDown,"[7, 9]","[8, 9]",True,,,0
4130865508,2026-06-17T17:19:45.613163+00:00,1,6,ArrowRight,"[8, 9]","[8, 10]",True,3,,1
4130865508,2026-06-17T17:19:53.650270+00:00,2,1,ArrowDown,"[7, 10]","[8, 10]",True,,,0
4130865508,2026-06-17T17:19:53.812657+00:00,2,2,ArrowDown,"[8, 10]","[9, 10]",True,,,0
4130865508,2026-06-17T17:19:54.078252+00:00,2,3,ArrowDown,"[9, 10]","[10, 10]",True,,,0
